CUIE;SIISA;NOMBRE EFECTOR;DEPENDENCIA ADMINISTRATIVA;CODIGO INDEC PROVINCIA;CODIGO INDEC DEPARTAMENTO;DEPARTAMENTO;CODIGO INDEC LOCALIDAD;LOCALIDAD;LATITUD;LONGITUD
W00016;5,01805E+13;CENTRO DE ATENCIÓN A LA DISCAPACIDAD;Provincial;18;49;ESQUINA;10;ESQUINA;-;-
W00018;-;MUNICIPALIDAD DE ITATÍ;Municipal;18;77;ITATI;10;ITATI;-;-
W00017;5,01808E+13;SAPS RENÉ FAVALORO;Municipal;18;77;ITATI;10;ITATI;-;-
W00015;1,01802E+13;HOSPITAL DE CAMPAÑA;Provincial;18;21;CAPITAL;20;CORRIENTES;-;-
W00006;5,01808E+13;SALA B. VIRGEN DE ITATI;Municipal;18;84;ITUZAINGO;20;ITUZAINGO;-27,4701805;-58,8445282
W20120;1,51802E+13;HOSPITAL GERIÁTRICO JUANA FRANCISCA CABRAL;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,4722;-58,835585
W06986;1,01809E+13;HOSPITAL ANGELA DE LOPEZ LAVALLE;Provincial;18;91;LAVALLE;20;GOBERNADOR JUAN E. MARTINEZ;-28,919227;-58,947143
W09197;5,01809E+13;CAPS ARTURO ILLIA;Provincial;18;91;LAVALLE;10;CRUZ DE LOS MILAGROS;-29,026153;-59,184722
W20129;5,31802E+13;DIRECCION APS CAPITAL;Provincial;18;21;CAPITAL;20;CORRIENTES;0;0
W20121;1,31802E+13;HOSPITAL PSIQUIATRICO SAN FRANCISCO DE ASIS;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,464051;-58,81226
W20019;5,0181E+13;SAPS MANANTIALES;Municipal;18;98;MBURUCUYA;10;MBURUCUYA;-28,039258;-58,215179
W20165;5,01811E+13;CAPS MARIA SCHMIDT;Provincial;18;112;MONTE CASEROS;50;MONTE CASEROS;0;0
W10438;5,01802E+13;DISPENSARIO DERM. HERSILIA CASARES DE BLAQUIER;Provincial;18;21;CAPITAL;20;CORRIENTES;-27,474085;-58,838675
W08557;5,01801E+13;E.S. PTO. YAHAPE;Provincial;18;14;BERON DE ASTRADA;20;YAHAPE;-27,388534;-57,700195
W20055;5,01803E+13;E.S. PJE.ITA PASO;Provincial;18;154;SAN MIGUEL;10;LORETO;-28,36119329;-57,92198181
W10128;5,01815E+13;E.S. MARIA AUXILIADORA;Provincial;18;154;SAN MIGUEL;10;LORETO;-27,767041;-57,273331
W10015;5,01802E+13;S.A.P.S. SAN CAYETANO;Municipal;18;21;CAPITAL;50;SAN CAYETANO;-27,569156;-58,735656
W20028;5,01813E+13;SALA ENSENADA GRANDE;Provincial;18;133;SAN COSME;30;SAN COSME;-27,370243;-58,512669
W20034;5,01808E+13;S. LA PALMIRA;Provincial;18;77;ITATI;10;ITATI;-27,338224;-58,170547
W20033;5,01808E+13;S. SCORSA CUÉ;Provincial;18;77;ITATI;10;ITATI;-27,339444;-58,153381
W20096;5,01801E+13;S. COLONIA PROGRESO;Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W20075;5,01801E+13;S. 3 DE ABRIL 40 VIVIENDAS;Provincial;18;7;BELLA VISTA;10;BELLA VISTA;-28,50773;-59,044857
W10100;5,01813E+13;S. PARAJE RINCÓN;Provincial;18;133;SAN COSME;20;PASO DE LA PATRIA;-27,358961;-58,595581
W20186;-;SALA RINCON NAVARRO;Provincial;18;140;SAN LUIS DEL PALMAR;10;SAN LUIS DEL PALMAR;-;-
W20026;-;SALA COSTA PARANÁ;Municipal;18;133;SAN COSME;40;SANTA ANA;0;0
W08553;5,01804E+13;S. SOMBRERO;Provincial;18;42;EMPEDRADO;10;EL SOMBRERO;-27,695688;-58,769989
W20007;5,01813E+13;SALA PAGO ALEGRE;Provincial;18;126;SALADAS;10;SALADAS;-28,256005;-58,617553
W20191;5,11801E+13;SALA JUAN DIAZ;Municipal;18;7;BELLA VISTA;10;BELLA VISTA;-28,507466;-59,044747
W20061;5,01812E+13;CAPS ARMANDO GALLESIO;Provincial;18;119;PASO DE LOS LIBRES;30;PASO DE LOS LIBRES;-29,71371;-57,08556
W20183;-;COOPERADORA DE LA FACULTAD DE ODONTOLOGIA (UNNE);Estado Nacional;18;21;CAPITAL;20;CORRIENTES;-;-
W00011;-;CENTRO VACUNATORIO;Municipal;18;21;CAPITAL;20;CORRIENTES;-;-
W00014;5,01817E+13;SAPS RICARDO CANONIERO;Municipal;18;168;SANTO TOME;30;GOBERNADOR IGR. VALENTIN VIRASORO;-;-
W06993;1,01804E+13;HOSPITAL SAN PEDRO (PERUGORRIA);Provincial;18;35;CURUZU CUATIA;30;PERUGORRIA;-29,33607479;-58,6025846
W07013;1,01817E+13;E.S. GARRUCHOS;Provincial;18;168;SANTO TOME;20;GARRUCHOS;-28,17402;-55,652446
W07003;1,01815E+13;HOSPITAL DE CARLOS PELLEGRINI;Provincial;18;147;SAN MARTIN;10;COLONIA CARLOS PELLEGRINI;-28,542306;-57,160491
W06973;1,01801E+13;HOSPITAL J. R. VIDAL;Provincial;18;14;BERON DE ASTRADA;10;BERON DE ASTRADA;-27,563069;-57,521667
W20127;5,01807E+13;SALA CAROLINA;Municipal;18;70;GOYA;10;COLONIA CAROLINA;-29,144224;-59,264324
W06998;5,01811E+13;E.S. JUAN PUJOL;Provincial;18;112;MONTE CASEROS;30;JUAN PUJOL;-30,245128;-57,680625
W20167;5,01804E+13;CIC MONSEÑOR DEVOTO;Municipal;18;35;CURUZU CUATIA;30;PERUGORRIA;-29,74291694;-58,10119629
W20059;-;CAPS PJE. BOQUERON;Provincial;18;105;MERCEDES;30;MERCEDES;0;0
W10067;1,01805E+13;HOSPITAL BASE SAGRADO CORAZÓN DE JESÚS;Provincial;18;49;ESQUINA;10;ESQUINA;-30,216651;-59,383506
W10149;5,01807E+13;S.A.P.S. SAN ISIDRO;Municipal;18;70;GOYA;30;SAN ISIDRO;-29,144224;-59,264324
W08408;-;S. COLONIA PANDO;Provincial;18;161;SAN ROQUE;20;COLONIA PANDO;-28,574682;-58,709125
